"","mention","without_add_symbol"
"1","@abc","abc"
"2","@ac","ac"
"3","@alisyncamerota","alisyncamerota"
"4","@alwaleed_talal","alwaleed_talal"
"5","@alwaleedbint","alwaleedbint"
"6","@amazon","amazon"
"7","@andersoncooper","andersoncooper"
"8","@andreatantaros","andreatantaros"
"9","@andrebauer","andrebauer"
"10","@anncoulter","anncoulter"
"11","@ap","ap"
"12","@ariannahuff","ariannahuff"
"13","@ariemanuel","ariemanuel"
"14","@barbarajwalters","barbarajwalters"
"15","@bensasse","bensasse"
"16","@bernardgoldberg","bernardgoldberg"
"17","@billdeblasio","billdeblasio"
"18","@billhemmer","billhemmer"
"19","@billkristol","billkristol"
"20","@billoreilly","billoreilly"
"21","@billyjoel","billyjoel"
"22","@billynungesser","billynungesser"
"23","@bishopwtjackson","bishopwtjackson"
"24","@bobvanderplaats","bobvanderplaats"
"25","@bodiet","bodiet"
"26","@borisep","borisep"
"27","@breitbartnews","breitbartnews"
"28","@bretbaier","bretbaier"
"29","@brithume","brithume"
"30","@brookslawbrooks","brookslawbrooks"
"31","@byronyork","byronyork"
"32","@cbs","cbs"
"33","@cbsnews","cbsnews"
"34","@charleshurt","charleshurt"
"35","@cherijacobus","cherijacobus"
"36","@chezvachon","chezvachon"
"37","@chucktodd","chucktodd"
"38","@cnbc","cnbc"
"39","@cnn","cnn"
"40","@cnnpolitics","cnnpolitics"
"41","@colbertlateshow","colbertlateshow"
"42","@cynthialummis","cynthialummis"
"43","@dailymail","dailymail"
"44","@dallaspd","dallaspd"
"45","@danaperino","danaperino"
"46","@danielhalper","danielhalper"
"47","@darrellissa","darrellissa"
"48","@davidgregory","davidgregory"
"49","@dbongino","dbongino"
"50","@deucecrew","deucecrew"
"51","@diamondandsilk","diamondandsilk"
"52","@donaldjtrumpjr","donaldjtrumpjr"
"53","@donlemon","donlemon"
"54","@drmoore","drmoore"
"55","@drudge_report","drudge_report"
"56","@dwstweets","dwstweets"
"57","@edgoeas","edgoeas"
"58","@elizabethforma","elizabethforma"
"59","@ericbolling","ericbolling"
"60","@ericshawnonfox","ericshawnonfox"
"61","@erictrump","erictrump"
"62","@erinburnett","erinburnett"
"63","@ewerickson","ewerickson"
"64","@facethenation","facethenation"
"65","@faithandfreedom","faithandfreedom"
"66","@fallontonight","fallontonight"
"67","@forbes","forbes"
"68","@fortunemagazine","fortunemagazine"
"69","@fortworthpd","fortworthpd"
"70","@fox","fox"
"71","@foxandfriends","foxandfriends"
"72","@foxbizalert","foxbizalert"
"73","@foxbusiness","foxbusiness"
"74","@foxnews","foxnews"
"75","@foxnewssunday","foxnewssunday"
"76","@franklin_graham","franklin_graham"
"77","@frankluntz","frankluntz"
"78","@freejessejames","freejessejames"
"79","@genflynn","genflynn"
