,mention,without_add_symbol,expansion
1,@abc,abc,abc
2,@ac,ac,ac
3,@alisyncamerota,alisyncamerota,alisyn camerota
4,@alwaleed_talal,alwaleed_talal,alwaleed talal
5,@alwaleedbint,alwaleedbint,alwaleed talal
6,@amazon,amazon,amazon
7,@andersoncooper,andersoncooper,anderson cooper
8,@andreatantaros,andreatantaros,andrea tantaros
9,@andrebauer,andrebauer,andre bauer
10,@anncoulter,anncoulter,ann coulter
11,@ap,ap,ap
12,@ariannahuff,ariannahuff,arianna huffington
13,@ariemanuel,ariemanuel,ari emanuel
14,@barbarajwalters,barbarajwalters,barbara walters
15,@bensasse,bensasse,ben sasse
16,@bernardgoldberg,bernardgoldberg,bernard goldberg
17,@billdeblasio,billdeblasio,bill de blasio
18,@billhemmer,billhemmer,bill hemmer
19,@billkristol,billkristol,bill kristol
20,@billoreilly,billoreilly,bill oreilly
21,@billyjoel,billyjoel,billy joel
22,@billynungesser,billynungesser,billy nungesser
23,@bishopwtjackson,bishopwtjackson,apostle wt jackson
24,@bobvanderplaats,bobvanderplaats,bob vander plaats
25,@bodiet,bodiet,bodiet
26,@borisep,borisep,boris epshteyn 
27,@breitbartnews,breitbartnews,breitbart news
28,@bretbaier,bretbaier,bret baier
29,@brithume,brithume,brit hume
30,@brookslawbrooks,brookslawbrooks,brookslawbrooks
31,@byronyork,byronyork,byron york
32,@cbs,cbs,cbs
33,@cbsnews,cbsnews,cbs news
34,@charleshurt,charleshurt,charles hurt
35,@cherijacobus,cherijacobus,cheri jacobus
36,@chezvachon,chezvachon,chez vachon
37,@chucktodd,chucktodd,chuck todd
38,@cnbc,cnbc,cnbc
39,@cnn,cnn,cnn
40,@cnnpolitics,cnnpolitics,cnn politics
41,@colbertlateshow,colbertlateshow,colbert late show
42,@cynthialummis,cynthialummis,cynthia lummis
43,@dailymail,dailymail,daily mail
44,@dallaspd,dallaspd,dallas police dept
45,@danaperino,danaperino,dana perino
46,@danielhalper,danielhalper,daniel halper
47,@darrellissa,darrellissa,darrell issa
48,@davidgregory,davidgregory,david gregory
49,@dbongino,dbongino,dan bongino
50,@deucecrew,deucecrew,Joe McQuaid
51,@diamondandsilk,diamondandsilk,diamond and silk
52,@donaldjtrumpjr,donaldjtrumpjr,donald trump jr
53,@donlemon,donlemon,don lemon
54,@drmoore,drmoore,russell moore
55,@drudge_report,drudge_report,drudge report
56,@dwstweets,dwstweets,dwstweets
57,@edgoeas,edgoeas,edgoeas
58,@elizabethforma,elizabethforma,elizabethforma
59,@ericbolling,ericbolling,ericbolling
60,@ericshawnonfox,ericshawnonfox,ericshawnonfox
61,@erictrump,erictrump,erictrump
62,@erinburnett,erinburnett,erinburnett
63,@ewerickson,ewerickson,ewerickson
64,@facethenation,facethenation,facethenation
65,@faithandfreedom,faithandfreedom,faithandfreedom
66,@fallontonight,fallontonight,fallontonight
67,@forbes,forbes,forbes
68,@fortunemagazine,fortunemagazine,fortunemagazine
69,@fortworthpd,fortworthpd,fortworthpd
70,@fox,fox,fox
71,@foxandfriends,foxandfriends,foxandfriends
72,@foxbizalert,foxbizalert,foxbizalert
73,@foxbusiness,foxbusiness,foxbusiness
74,@foxnews,foxnews,foxnews
75,@foxnewssunday,foxnewssunday,foxnewssunday
76,@franklin_graham,franklin_graham,franklin_graham
77,@frankluntz,frankluntz,frankluntz
78,@freejessejames,freejessejames,freejessejames
79,@genflynn,genflynn,genflynn
80,@georgewill,georgewill,georgewill
81,@georgezwill,georgezwill,georgezwill
82,@glennbeck,glennbeck,glennbeck
83,@gma,gma,gma
84,@gohermie,gohermie,gohermie
85,@golf_com,golf_com,golf_com
86,@gop,gop,gop
87,@gopconvention,gopconvention,gopconvention
88,@governorpataki,governorpataki,governorpataki
89,@governorperry,governorperry,governorperry
90,@governorsununu,governorsununu,governorsununu
91,@govmikehuckabee,govmikehuckabee,govmikehuckabee
92,@gravismarketing,gravismarketing,gravismarketing
93,@greta,greta,greta
94,@gstephanopoulos,gstephanopoulos,gstephanopoulos
95,@hardball_chris,hardball_chris,hardball_chris
96,@heritage,heritage,heritage
97,@herschelwalker,herschelwalker,herschelwalker
98,@heytana,heytana,heytana
99,@hillaryclinton,hillaryclinton,hillaryclinton
100,@howardkurtz,howardkurtz,howardkurtz
101,@howardstern,howardstern,howardstern
102,@huffingtonpost,huffingtonpost,huffingtonpost
103,@iclv,iclv,iclv
104,@img,img,img
105,@ivankatrump,ivankatrump,ivankatrump
106,@jacknicklaus,jacknicklaus,jacknicklaus
107,@jaketapper,jaketapper,jaketapper
108,@jdickerson,jdickerson,jdickerson
109,@jebbush,jebbush,jebbush
110,@jeffbezos,jeffbezos,jeffbezos
111,@jeffflake,jeffflake,jeffflake
112,@jerryjrfalwell,jerryjrfalwell,jerryjrfalwell
113,@jessebwatters,jessebwatters,jessebwatters
114,@jimmyfallon,jimmyfallon,jimmyfallon
115,@jimmykimmel,jimmykimmel,jimmykimmel
116,@jmartnyt,jmartnyt,jmartnyt
117,@joenbc,joenbc,joenbc
118,@joetrippi,joetrippi,joetrippi
119,@johnkasich,johnkasich,johnkasich
120,@jonahnro,jonahnro,jonahnro
121,@jorgeramosnews,jorgeramosnews,jorgeramosnews
122,@judgejeanine,judgejeanine,judgejeanine
123,@karlrove,karlrove,karlrove
124,@katiepavlich,katiepavlich,katiepavlich
125,@katrinapierson,katrinapierson,katrinapierson
126,@kayleighmcenany,kayleighmcenany,kayleighmcenany
127,@kellyannepolls,kellyannepolls,kellyannepolls
128,@kellyriddell,kellyriddell,kellyriddell
129,@kilmeade,kilmeade,kilmeade
130,@kimguilfoyle,kimguilfoyle,kimguilfoyle
131,@krauthammer,krauthammer,krauthammer
132,@ktmcfarland,ktmcfarland,ktmcfarland
133,@libertyu,libertyu,libertyu
134,@lindseygraham,lindseygraham,lindseygraham
135,@lindseygrahamsc,lindseygrahamsc,lindseygrahamsc
136,@loudobbsnews,loudobbsnews,loudobbsnews
137,@ltstevenlrogers,ltstevenlrogers,ltstevenlrogers
138,@macys,macys,macys
139,@mainegop,mainegop,mainegop
140,@majorcbs,majorcbs,majorcbs
141,@marcorubio,marcorubio,marcorubio
142,@marcthiessen,marcthiessen,marcthiessen
143,@mariabartiromo,mariabartiromo,mariabartiromo
144,@mariatcardona,mariatcardona,mariatcardona
145,@markhalperin,markhalperin,markhalperin
146,@marksteynonline,marksteynonline,marksteynonline
147,@marshablackburn,marshablackburn,marshablackburn
148,@meetthepress,meetthepress,meetthepress
149,@meghanmccain,meghanmccain,meghanmccain
150,@megynkelly,megynkelly,megynkelly
151,@melaniatrump,melaniatrump,melaniatrump
152,@mercedesschlapp,mercedesschlapp,mercedesschlapp
153,@mike_pence,mike_pence,mike_pence
154,@mikeneedham,mikeneedham,mikeneedham
155,@minutes,minutes,minutes
156,@mittromney,mittromney,mittromney
157,@mmflint,mmflint,mmflint
158,@monicacrowley,monicacrowley,monicacrowley
159,@monteskitchen,monteskitchen,monteskitchen
160,@montgomeriefdn,montgomeriefdn,montgomeriefdn
161,@morning_joe,morning_joe,morning_joe
162,@morningmika,morningmika,morningmika
163,@msnbc,msnbc,msnbc
164,@nascar,nascar,nascar
165,@natalie_gulbis,natalie_gulbis,natalie_gulbis
166,@nbc,nbc,nbc
167,@nbcnews,nbcnews,nbcnews
168,@nbcpolitics,nbcpolitics,nbcpolitics
169,@nbcsnl,nbcsnl,nbcsnl
170,@ncgop,ncgop,ncgop
171,@nealconan,nealconan,nealconan
172,@newday,newday,newday
173,@newtgingrich,newtgingrich,newtgingrich
174,@nra,nra,nra
175,@nro,nro,nro
176,@nydailynews,nydailynews,nydailynews
177,@nypost,nypost,nypost
178,@nytdavidbrooks,nytdavidbrooks,nytdavidbrooks
179,@nytimes,nytimes,nytimes
180,@nytimesdowd,nytimesdowd,nytimesdowd
181,@oann,oann,oann
182,@omarosa,omarosa,omarosa
183,@oreillyfactor,oreillyfactor,oreillyfactor
184,@outfrontcnn,outfrontcnn,outfrontcnn
185,@pastormarkburns,pastormarkburns,pastormarkburns
186,@patrickbuchanan,patrickbuchanan,patrickbuchanan
187,@paulteutulsr,paulteutulsr,paulteutulsr
188,@penn,penn,penn
189,@pennjillette,pennjillette,pennjillette
190,@peterose_,peterose_,peterose_
191,@phillypolice,phillypolice,phillypolice
192,@piersmorgan,piersmorgan,piersmorgan
193,@pnehlen,pnehlen,pnehlen
194,@politico,politico,politico
195,@potus,potus,potus
196,@quinnipiacpoll,quinnipiacpoll,quinnipiacpoll
197,@randpaul,randpaul,randpaul
198,@realbencarson,realbencarson,realbencarson
199,@realdonaldtrump,realdonaldtrump,realdonaldtrump
200,@realsheriffjoe,realsheriffjoe,realsheriffjoe
201,@redstate,redstate,redstate
202,@reince,reince,reince
203,@repchriscollins,repchriscollins,repchriscollins
204,@reploubarletta,reploubarletta,reploubarletta
205,@repreneeellmers,repreneeellmers,repreneeellmers
206,@reptommarino,reptommarino,reptommarino
207,@reuters,reuters,reuters
208,@richlowry,richlowry,richlowry
209,@ricksantorum,ricksantorum,ricksantorum
210,@ringlingbros,ringlingbros,ringlingbros
211,@rondarousey,rondarousey,rondarousey
212,@ruthmarcus,ruthmarcus,ruthmarcus
213,@samaritanspurse,samaritanspurse,samaritanspurse
214,@sandiegopd,sandiegopd,sandiegopd
