"","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet","device"
"1","682703233492619264","I would like to wish everyone A HAPPY AND HEALTHY NEW YEAR. WE MUST ALL WORK TOGETHER TO, FINALLY, MAKE AMERICA SAFE AGAIN AND GREAT AGAIN!",2015-12-31 18:21:49,6776,NA,16495,FALSE,"Android"
"2","682700657304989697","Do you believe that The State Department, on NEW YEAR'S EVE, just released more of Hillary's e-mails. They just want it all to end. BAD!",2015-12-31 18:11:35,2755,NA,6824,FALSE,"Android"
"4","682605293856002048","HAPPY BIRTHDAY to my son, @DonaldJTrumpJr! Very proud of you! #TBT https://t.co/ULerCEOCGX https://t.co/nbxPVdarJM",2015-12-31 11:52:38,2080,NA,8416,FALSE,"iPhone"
"5","682578783912759296","I would feel sorry for @JebBush and how badly he is doing with his campaign other than for the fact he took millions of $'s of hit ads on me",2015-12-31 10:07:18,1875,NA,5780,FALSE,"Android"
"6","682544630139863040","#MakeAmericaGreatAgain #Trump2016 https://t.co/IEIXos0wh9",2015-12-31 07:51:35,2285,NA,5729,FALSE,"iPhone"
"7","682502608834170880","People ask, ""why do you tweet and re-tweet to millions about @JebBush when he is so low in the polls?"" Because of his big $ hit ads on me!",2015-12-31 05:04:36,1359,NA,4248,FALSE,"Android"
"9","682414759942184960","A GREAT day in South Carolina. Record crowd and fantastic enthusiasm. This is now a movement to MAKE AMERICA GREAT AGAIN!",2015-12-30 23:15:32,1706,NA,5715,FALSE,"Android"
"10","682413776600174592","I predict that dying @UnionLeader newspaper, which has been run into the ground by publisher ""Stinky"" Joe McQuaid, will be dead in 2 years!",2015-12-30 23:11:37,897,NA,3261,FALSE,"Android"
"11","682319510251159553","A lovely letter from the daughter of the late great John Wayne. Our country could use a John Wayne right now. https://t.co/RhN5gVNBqM",2015-12-30 16:57:02,2951,NA,6992,FALSE,"iPhone"
"13","682297346240167936","I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!",2015-12-30 15:28:58,2050,NA,5247,FALSE,"iPhone"
"16","682227816394522624","I never thought I'd be saying this but I've really enjoyed  @RichLowry on television lately, and he was terrific hosting @seanhannity",2015-12-30 10:52:41,912,NA,3279,FALSE,"Android"
"18","682201111948824576","The dying @UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!",2015-12-30 09:06:34,1052,NA,3166,FALSE,"iPhone"
"19","682186402621186049","Iowa was fantastic last night, amazing crowd and people. I'm now in Florida, getting ready to go to South Carolina. Big crowd, very exciting",2015-12-30 08:08:07,1317,NA,4686,FALSE,"Android"
"20","682177311622467584",".@CharlesHurt   You were great on @seanhannity last night. Thanks for the nice words. MAKE AMERICA GREAT AGAIN!",2015-12-30 07:31:59,699,NA,2555,FALSE,"Android"
"21","682048994705584129","THANK YOU Council Bluffs, Iowa! The silent majority, is silent no more!
#Trump2016 #FITN https://t.co/VTAe68eQ1k https://t.co/IPsJPVH5JP",2015-12-29 23:02:06,2427,NA,6461,FALSE,"iPhone"
"22","681997481740087296","Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads, lunches, donations, speeches from me, and tweets---very unethical.",2015-12-29 19:37:25,1121,NA,3397,FALSE,"iPhone"
"26","681847012304797696","So, I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!",2015-12-29 09:39:30,4172,NA,10349,FALSE,"Android"
"27","681845591027134464","My campaign for president is $35,000,000 under budget, I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.",2015-12-29 09:33:51,3614,NA,9464,FALSE,"Android"
"28","681696040458809345",".@jessebwatters is terrific at hosting on @FoxNews - he really gets it!",2015-12-28 23:39:36,1115,NA,3796,FALSE,"Android"
